"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ProjectCode.nlogo"
"Demographic Rates"
"12/17/2025 13:32:20:219 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","religious-tolerance","linguistic-tolerance","birth-rate","death-rate","viz-mode","rel-focus","lang-focus","[step]","ticks","count households","count households with [religion = ""Muslim""]","count households with [religion = ""Hindu""]","count households with [religion = ""Christian""]","count households with [language = ""Urdu""]","count households with [language = ""Sindhi""]","count households with [language = ""Pashto""]","global-religion-similarity","max [m-muslim] of managers","max [m-hindu] of managers","max [m-christian] of managers","standard-deviation [m-total] of managers"
"2","5","15","20","8","Religion","Muslim","Urdu","0","0","2841","2728","23","87","1415","296","469","92.48176797654813","374","7","16","119.5837142167877"
"2","5","15","20","8","Religion","Muslim","Urdu","1","1","2873","2758","24","88","1432","298","473","92.50220105264071","374","7","16","119.58371421678768"
"1","5","5","20","8","Religion","Muslim","Urdu","0","0","2841","2733","25","75","1400","301","490","92.74137344583269","365","9","14","119.5837142167877"
"2","5","15","20","8","Religion","Muslim","Urdu","2","2","2911","2796","24","88","1450","302","481","92.58760866752975","400","3","18","108.13289149108249"
"1","5","5","20","8","Religion","Muslim","Urdu","1","1","2872","2763","25","76","1417","303","494","92.71313009934524","365","9","14","119.5837142167877"
"2","5","15","20","8","Religion","Muslim","Urdu","3","3","2946","2831","23","89","1466","307","491","92.7302711318225","412","3","20","110.92064230290451"
"1","5","5","20","8","Religion","Muslim","Urdu","2","2","2921","2811","24","78","1444","306","502","92.91448177322613","368","5","16","116.19973788682711"
"2","5","15","20","8","Religion","Muslim","Urdu","4","4","2997","2880","24","90","1486","310","504","92.80092504218767","426","3","21","115.19446473629867"
"1","5","5","20","8","Religion","Muslim","Urdu","3","3","2965","2854","25","78","1466","310","509","93.07017553327036","379","6","18","119.14440351476392"
"2","5","15","20","8","Religion","Muslim","Urdu","5","5","3025","2910","24","88","1499","313","506","92.91580585066346","444","4","21","117.17571019124881"
"1","5","5","20","8","Religion","Muslim","Urdu","4","4","3022","2905","25","84","1493","319","522","93.09306419850247","385","7","20","120.73198589562193"
"2","5","15","20","8","Religion","Muslim","Urdu","6","6","3054","2935","25","91","1515","316","512","92.98502327600858","451","3","21","118.36507445050334"
"2","5","15","20","8","Religion","Muslim","Urdu","7","7","3076","2955","25","93","1527","315","513","92.92906756657524","455","3","23","119.51519716312724"
"1","5","5","20","8","Religion","Muslim","Urdu","5","5","3056","2940","25","83","1513","320","532","93.10433076555093","395","8","21","122.53397554718728"
"2","5","15","20","8","Religion","Muslim","Urdu","8","8","3115","2993","25","94","1541","319","524","92.94273110943436","456","4","24","119.53039922910523"
"1","5","5","20","8","Religion","Muslim","Urdu","6","6","3110","2993","25","83","1542","324","545","93.2373632884451","400","9","21","123.64301343481495"
"2","5","15","20","8","Religion","Muslim","Urdu","9","9","3144","3020","25","96","1557","321","528","92.96266714766723","461","4","26","122.34063930740183"
"1","5","5","20","8","Religion","Muslim","Urdu","7","7","3141","3023","26","83","1558","327","548","93.28116757827182","409","8","21","125.46176148441101"
"2","5","15","20","8","Religion","Muslim","Urdu","10","10","3193","3067","25","96","1579","328","535","92.96199849515475","466","3","26","122.67987993626531"
"1","5","5","20","8","Religion","Muslim","Urdu","8","8","3170","3052","25","84","1567","332","554","93.35218175553473","416","9","22","127.23172467865821"
"1","5","5","20","8","Religion","Muslim","Urdu","9","9","3213","3094","26","84","1583","335","565","93.31821460363844","418","10","22","128.05967767315218"
"2","5","15","20","8","Religion","Muslim","Urdu","11","11","3243","3118","25","95","1606","332","539","93.02912621174056","478","4","26","123.96827814779111"
"1","5","5","20","8","Religion","Muslim","Urdu","10","10","3266","3144","26","87","1620","343","570","93.33269195552786","420","12","22","129.93131669779817"
"2","5","15","20","8","Religion","Muslim","Urdu","12","12","3280","3155","26","94","1630","334","540","93.13049124980003","489","3","25","126.88079166728765"
"1","5","5","20","8","Religion","Muslim","Urdu","11","11","3302","3179","27","87","1636","345","576","93.33325689197525","422","11","23","130.9320534261152"
"2","5","15","20","8","Religion","Muslim","Urdu","13","13","3315","3187","26","96","1651","346","539","93.15259325552677","491","4","24","126.33501473349507"
"1","5","5","20","8","Religion","Muslim","Urdu","12","12","3356","3229","27","91","1662","348","589","93.34326095614102","423","11","23","131.66813104174506"
"2","5","15","20","8","Religion","Muslim","Urdu","14","14","3353","3223","26","98","1681","346","537","93.04673970797693","493","4","25","128.0051699323577"
"1","5","5","20","8","Religion","Muslim","Urdu","13","13","3379","3248","28","94","1675","348","590","93.26514657950764","430","11","24","134.20801335864113"
"2","5","15","20","8","Religion","Muslim","Urdu","15","15","3374","3243","27","98","1695","349","532","93.05288629693678","502","5","26","129.9650656932608"
"2","5","15","20","8","Religion","Muslim","Urdu","16","16","3409","3279","27","97","1713","353","538","93.1293448107182","503","4","26","130.9958338907464"
"2","5","15","20","8","Religion","Muslim","Urdu","17","17","3454","3321","27","99","1739","361","543","93.17263925855124","502","4","25","131.74357396490257"
"1","5","5","20","8","Religion","Muslim","Urdu","14","14","3424","3289","29","96","1698","356","592","93.14058991259961","429","11","25","134.26786464796476"
"2","5","15","20","8","Religion","Muslim","Urdu","18","18","3496","3360","28","101","1762","367","545","93.10715748462879","510","5","26","133.49328640924182"
"1","5","5","20","8","Religion","Muslim","Urdu","15","15","3464","3328","30","96","1715","360","600","93.16415210309025","430","12","26","136.28368145183546"
"2","5","15","20","8","Religion","Muslim","Urdu","19","19","3538","3402","28","101","1779","374","547","93.14511921554754","522","6","27","136.8427846560362"
"1","5","5","20","8","Religion","Muslim","Urdu","16","16","3515","3377","30","98","1738","368","609","93.21063732396468","434","13","26","137.2971111568854"
"2","5","15","20","8","Religion","Muslim","Urdu","20","20","3576","3439","29","101","1801","380","548","93.22101044444182","532","7","26","138.63249013222492"
"1","5","5","20","8","Religion","Muslim","Urdu","17","17","3547","3409","30","98","1753","370","617","93.26262064297816","443","13","26","139.51673125705605"
"1","5","5","20","8","Religion","Muslim","Urdu","18","18","3593","3455","29","99","1770","375","632","93.31301020298294","447","14","26","140.21180290261807"
"2","5","15","20","8","Religion","Muslim","Urdu","21","21","3622","3486","29","100","1827","386","554","93.2308899348911","540","7","26","139.5872065602508"
"1","5","5","20","8","Religion","Muslim","Urdu","19","19","3628","3490","29","99","1784","381","637","93.3510292464861","454","12","26","143.20455911609096"
"2","5","15","20","8","Religion","Muslim","Urdu","22","22","3681","3543","29","102","1847","394","566","93.30057499282289","538","8","26","140.5864002943116"
"2","5","15","20","8","Religion","Muslim","Urdu","23","23","3733","3592","30","104","1868","397","570","93.30283599363636","544","7","26","142.55081653262337"
