"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ProjectCode.nlogo"
"Tolerance Sensitivity"
"12/17/2025 13:30:16:443 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","religious-tolerance","linguistic-tolerance","birth-rate","death-rate","viz-mode","rel-focus","lang-focus","[step]","ticks","count households","count households with [religion = ""Muslim""]","count households with [religion = ""Hindu""]","count households with [religion = ""Christian""]","count households with [language = ""Urdu""]","count households with [language = ""Sindhi""]","count households with [language = ""Pashto""]","global-religion-similarity","max [m-muslim] of managers","max [m-hindu] of managers","max [m-christian] of managers","standard-deviation [m-total] of managers"
"1","10","10","25","10","Religion","Muslim","Urdu","0","0","2841","2738","40","58","1361","304","487","93.06324084449543","368","12","10","119.58371421678771"
"1","10","10","25","10","Religion","Muslim","Urdu","1","1","2900","2796","41","58","1389","310","493","93.11758515797254","368","12","10","119.5837142167877"
"2","10","30","25","10","Religion","Muslim","Urdu","0","0","2841","2731","28","79","1336","334","484","92.62236267573336","369","8","17","119.5837142167877"
"1","10","10","25","10","Religion","Muslim","Urdu","2","2","2925","2822","41","57","1403","313","502","93.29703520411363","385","5","8","114.46339712347242"
"1","10","10","25","10","Religion","Muslim","Urdu","3","3","2963","2859","42","57","1424","314","506","93.46301826375665","393","6","11","116.71848989064647"
"1","10","10","25","10","Religion","Muslim","Urdu","4","4","3009","2901","44","58","1444","320","511","93.56676362060111","397","9","12","118.31768744950476"
"1","10","10","25","10","Religion","Muslim","Urdu","5","5","3062","2952","45","59","1469","326","521","93.652444665597","405","10","16","121.15388852976348"
"1","10","10","25","10","Religion","Muslim","Urdu","6","6","3110","2999","47","58","1498","330","527","93.65685002844988","417","14","16","124.07724770759872"
"2","10","30","25","10","Religion","Muslim","Urdu","1","1","2859","2748","29","79","1341","333","486","92.82517563912592","369","8","17","119.5837142167877"
"1","10","10","25","10","Religion","Muslim","Urdu","7","7","3166","3055","47","58","1524","338","537","93.77869861767213","427","16","16","127.27993952911805"
"1","10","10","25","10","Religion","Muslim","Urdu","8","8","3222","3108","47","60","1554","338","549","93.90681394654469","429","18","19","128.26529900212518"
"1","10","10","25","10","Religion","Muslim","Urdu","9","9","3247","3131","49","60","1562","344","555","94.02860081895467","435","20","23","129.71643281086816"
"1","10","10","25","10","Religion","Muslim","Urdu","10","10","3282","3166","50","58","1588","350","556","94.14387513185586","435","22","25","130.22204516037843"
"2","10","30","25","10","Religion","Muslim","Urdu","2","2","2901","2792","29","77","1358","339","493","92.65313239540018","347","4","10","65.29052719328027"
"1","10","10","25","10","Religion","Muslim","Urdu","11","11","3308","3194","50","57","1595","359","561","94.39734039561569","441","24","26","131.46415302055448"
"1","10","10","25","10","Religion","Muslim","Urdu","12","12","3363","3245","53","58","1620","367","564","94.70056232415118","445","26","31","131.68525557535935"
