"export-plot data (NetLogo 6.4.0)"
"ProjectCode.nlogo"
"12/15/2025 23:48:03:077 +0500"

"MODEL SETTINGS"
"religious-tolerance","linguistic-tolerance","rel-focus","viz-mode","death-rate","lang-focus","birth-rate"
"30","30","""Muslim""","""Religion""","6","""Pashto""","27"

"""Average Similarity (Segregation Index)"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","100","0","100","true","""Religion""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Religion""","true","0","1","0","91"
"""Language""","true","0","1","5","91"

"""Religion""",,,,"""Language"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","92.87321880457723","0","true","0","38.61967470076442","5","true"
"1","92.72845319649198","0","true","1","38.17870894987602","5","true"
"2","92.62225100170166","0","true","2","44.455406441575654","5","true"
"3","92.75939284015125","0","true","3","48.5653965034942","5","true"
"4","92.73634389484668","0","true","4","51.8296879223284","5","true"
"5","92.76735346664601","0","true","5","53.97006308510567","5","true"
"6","92.87962990271213","0","true","6","56.242006845946825","5","true"
"7","93.10807111953487","0","true","7","58.21129208809977","5","true"
"8","93.1547581342185","0","true","8","60.36127792682968","5","true"
"9","93.21710134934749","0","true","9","62.472377644858966","5","true"
"10","93.13052753609189","0","true","10","63.65573293850413","5","true"
"11","93.07478033989675","0","true","11","65.25789473617125","5","true"
"12","92.86500213152095","0","true","12","66.12202016023103","5","true"
"13","92.80845914860323","0","true","13","67.10992522459102","5","true"
"14","92.76239737532106","0","true","14","68.1164392133615","5","true"
"15","92.76309715569924","0","true","15","68.68230606374496","5","true"
"16","92.77677297865618","0","true","16","68.84914745588172","5","true"
"17","92.7031886553761","0","true","17","69.43982533735684","5","true"
"18","92.64155801998646","0","true","18","70.11463180568155","5","true"
"19","92.55070526879322","0","true","19","70.36886198689842","5","true"
"20","92.6091794776279","0","true","20","71.0416187311978","5","true"
"21","92.73248730468461","0","true","21","71.61312114339955","5","true"
"22","92.76368685020273","0","true","22","71.96604859141722","5","true"
"23","92.72664885599791","0","true","23","72.50585637620789","5","true"
"24","92.53128927316958","0","true","24","72.88108392332374","5","true"
"25","92.52464281464799","0","true","25","73.00459894997059","5","true"
"26","92.57025615153496","0","true","26","73.50755437362913","5","true"
"27","92.46976507660753","0","true","27","73.49490753428736","5","true"
"28","92.53867283557616","0","true","28","74.1635963968674","5","true"
"29","92.51556754680334","0","true","29","74.3996327559747","5","true"
"30","92.57317926194605","0","true","30","74.32801202471113","5","true"
"31","92.54716035625262","0","true","31","74.36304151001791","5","true"
"32","92.41856687392492","0","true","32","74.70819310481853","5","true"
"33","92.37905977803221","0","true","33","75.29790469702235","5","true"
"34","92.40931200657909","0","true","34","75.41844912747601","5","true"
"35","92.33271751811294","0","true","35","75.70121789428518","5","true"
"36","92.13733899622662","0","true","36","75.77063775130118","5","true"
"37","92.14529983255129","0","true","37","75.85000485979684","5","true"
"38","92.17646103963324","0","true","38","75.90516615337894","5","true"
"39","92.15974348248581","0","true","39","76.15679013734258","5","true"
"40","92.16428266586122","0","true","40","76.63176524250642","5","true"
"41","92.2615779531094","0","true","41","76.57169722402809","5","true"
"42","92.30899001490252","0","true","42","77.54187070453453","5","true"
"43","92.35321727955188","0","true","43","78.68660126867107","5","true"
"44","92.25692808620057","0","true","44","79.27114804520643","5","true"
"45","92.32337772722494","0","true","45","79.70745595006696","5","true"
"46","92.37838393645539","0","true","46","79.9153705774558","5","true"
"47","92.34485926479762","0","true","47","80.07646681698914","5","true"
"48","92.41548616904926","0","true","48","79.95274805755037","5","true"
"49","92.43176350933783","0","true","49","80.10315118224557","5","true"
"50","92.38692828726022","0","true","50","80.16365665766972","5","true"
"51","92.36491452825668","0","true","51","80.35904677414084","5","true"
"52","92.34971636239075","0","true","52","80.51632998169046","5","true"
"53","92.25723886118818","0","true","53","80.5556306505209","5","true"
"54","92.27081960870379","0","true","54","80.32222828758876","5","true"
"55","92.32371839774032","0","true","55","80.46220474443358","5","true"
"56","92.30715336628371","0","true","56","80.80036489485816","5","true"
"57","92.29924748947974","0","true","57","80.86336689553244","5","true"
"58","92.33709434951355","0","true","58","80.85961080273043","5","true"
"59","92.39610809480743","0","true","59","80.88622470977197","5","true"
"60","92.46656227648134","0","true","60","81.08970288234053","5","true"
"61","92.53148576425754","0","true","61","81.30030831952013","5","true"
"62","92.62035186551343","0","true","62","81.27378701621805","5","true"
"63","92.6158485962864","0","true","63","81.25345948048955","5","true"
"64","92.54795912502438","0","true","64","81.05893875409484","5","true"
"65","92.51265919663273","0","true","65","81.00387671809337","5","true"
"66","92.52683777380271","0","true","66","80.90561389424195","5","true"
"67","92.4158392051455","0","true","67","81.09192948407468","5","true"
"68","92.43451762692496","0","true","68","81.26461359276715","5","true"
"69","92.45618060045247","0","true","69","81.28654267042545","5","true"
"70","92.46174112638728","0","true","70","81.43122006798572","5","true"
"71","92.47890184766487","0","true","71","81.40850277120467","5","true"
"72","92.5409728963194","0","true","72","81.36208861908347","5","true"
"73","92.58720821433339","0","true","73","81.4915140251968","5","true"
"74","92.57159425949357","0","true","74","81.64634120241678","5","true"
"75","92.57286915026823","0","true","75","81.50581431984179","5","true"
"76","92.63546743653602","0","true","76","81.58346665389267","5","true"
"77","92.67095100271882","0","true","77","81.68134294119503","5","true"
"78","92.69700662837712","0","true","78","81.56895074951565","5","true"
"79","92.71840676934569","0","true","79","81.50632049206796","5","true"
"80","92.7174126596184","0","true","80","81.69251318981684","5","true"
"81","92.71503550109537","0","true","81","81.74053554277046","5","true"
"82","92.75347812616884","0","true","82","81.66158671640194","5","true"
"83","92.85734844532652","0","true","83","81.7392207159355","5","true"
"84","92.88868973528412","0","true","84","81.8076255971325","5","true"
"85","92.90920285608013","0","true","85","81.77855683775765","5","true"
"86","92.92636869513574","0","true","86","81.65208807780647","5","true"
"87","92.96455697064417","0","true","87","81.70452512660937","5","true"
"88","93.01682607131953","0","true","88","81.97350071248334","5","true"
"89","92.97957760059752","0","true","89","82.02233121858676","5","true"
"90","92.89862667897576","0","true","90","81.98610502903352","5","true"
"91","92.88194072418918","0","true","91","81.92368006527936","5","true"
