"export-plot data (NetLogo 6.4.0)"
"ProjectCode.nlogo"
"12/15/2025 23:46:43:966 +0500"

"MODEL SETTINGS"
"religious-tolerance","linguistic-tolerance","rel-focus","viz-mode","death-rate","lang-focus","birth-rate"
"30","30","""Muslim""","""Religion""","6","""Pashto""","27"

"""Demographics (Population Counts)"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","100","0","17900","true","""Muslim""","false","4"

"pen name","pen down?","mode","interval","color","x"
"""Muslim""","true","0","1","55","91"
"""Hindu""","true","0","1","5","91"
"""Christian""","true","0","1","15","91"
"""Other""","true","0","1","25","91"

"""Muslim""",,,,"""Hindu""",,,,"""Christian""",,,,"""Other"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","2735","55","true","0","28","5","true","0","73","15","true","0","5","25","true"
"1","2785","55","true","1","29","5","true","1","76","15","true","1","5","25","true"
"2","2830","55","true","2","29","5","true","2","78","15","true","2","5","25","true"
"3","2894","55","true","3","30","5","true","3","77","15","true","3","5","25","true"
"4","2946","55","true","4","31","5","true","4","80","15","true","4","5","25","true"
"5","3009","55","true","5","31","5","true","5","81","15","true","5","5","25","true"
"6","3058","55","true","6","31","5","true","6","79","15","true","6","5","25","true"
"7","3133","55","true","7","31","5","true","7","79","15","true","7","5","25","true"
"8","3199","55","true","8","32","5","true","8","81","15","true","8","5","25","true"
"9","3264","55","true","9","32","5","true","9","84","15","true","9","5","25","true"
"10","3358","55","true","10","32","5","true","10","86","15","true","10","5","25","true"
"11","3433","55","true","11","34","5","true","11","90","15","true","11","6","25","true"
"12","3486","55","true","12","36","5","true","12","92","15","true","12","6","25","true"
"13","3543","55","true","13","36","5","true","13","97","15","true","13","6","25","true"
"14","3629","55","true","14","39","5","true","14","98","15","true","14","6","25","true"
"15","3702","55","true","15","39","5","true","15","99","15","true","15","5","25","true"
"16","3777","55","true","16","39","5","true","16","105","15","true","16","5","25","true"
"17","3843","55","true","17","39","5","true","17","107","15","true","17","6","25","true"
"18","3902","55","true","18","41","5","true","18","111","15","true","18","6","25","true"
"19","3980","55","true","19","43","5","true","19","113","15","true","19","6","25","true"
"20","4072","55","true","20","44","5","true","20","113","15","true","20","6","25","true"
"21","4156","55","true","21","44","5","true","21","114","15","true","21","6","25","true"
"22","4247","55","true","22","47","5","true","22","114","15","true","22","6","25","true"
"23","4344","55","true","23","47","5","true","23","120","15","true","23","7","25","true"
"24","4433","55","true","24","48","5","true","24","127","15","true","24","7","25","true"
"25","4545","55","true","25","50","5","true","25","127","15","true","25","6","25","true"
"26","4633","55","true","26","51","5","true","26","131","15","true","26","6","25","true"
"27","4730","55","true","27","54","5","true","27","132","15","true","27","7","25","true"
"28","4820","55","true","28","55","5","true","28","134","15","true","28","7","25","true"
"29","4942","55","true","29","57","5","true","29","137","15","true","29","7","25","true"
"30","5042","55","true","30","58","5","true","30","137","15","true","30","7","25","true"
"31","5155","55","true","31","62","5","true","31","141","15","true","31","8","25","true"
"32","5244","55","true","32","64","5","true","32","144","15","true","32","9","25","true"
"33","5369","55","true","33","63","5","true","33","148","15","true","33","10","25","true"
"34","5479","55","true","34","65","5","true","34","152","15","true","34","10","25","true"
"35","5564","55","true","35","68","5","true","35","158","15","true","35","11","25","true"
"36","5691","55","true","36","69","5","true","36","163","15","true","36","12","25","true"
"37","5802","55","true","37","72","5","true","37","165","15","true","37","11","25","true"
"38","5940","55","true","38","76","5","true","38","168","15","true","38","11","25","true"
"39","6062","55","true","39","75","5","true","39","173","15","true","39","12","25","true"
"40","6213","55","true","40","77","5","true","40","175","15","true","40","12","25","true"
"41","6346","55","true","41","77","5","true","41","177","15","true","41","12","25","true"
"42","6471","55","true","42","80","5","true","42","178","15","true","42","11","25","true"
"43","6599","55","true","43","83","5","true","43","183","15","true","43","11","25","true"
"44","6741","55","true","44","86","5","true","44","189","15","true","44","11","25","true"
"45","6875","55","true","45","85","5","true","45","190","15","true","45","11","25","true"
"46","7042","55","true","46","89","5","true","46","193","15","true","46","11","25","true"
"47","7180","55","true","47","91","5","true","47","195","15","true","47","11","25","true"
"48","7335","55","true","48","92","5","true","48","200","15","true","48","11","25","true"
"49","7501","55","true","49","93","5","true","49","204","15","true","49","11","25","true"
"50","7653","55","true","50","98","5","true","50","211","15","true","50","11","25","true"
"51","7797","55","true","51","99","5","true","51","210","15","true","51","11","25","true"
"52","7954","55","true","52","102","5","true","52","222","15","true","52","11","25","true"
"53","8113","55","true","53","105","5","true","53","227","15","true","53","11","25","true"
"54","8284","55","true","54","107","5","true","54","227","15","true","54","11","25","true"
"55","8460","55","true","55","107","5","true","55","235","15","true","55","11","25","true"
"56","8631","55","true","56","111","5","true","56","241","15","true","56","11","25","true"
"57","8817","55","true","57","112","5","true","57","244","15","true","57","11","25","true"
"58","8974","55","true","58","114","5","true","58","249","15","true","58","11","25","true"
"59","9172","55","true","59","115","5","true","59","250","15","true","59","11","25","true"
"60","9373","55","true","60","118","5","true","60","253","15","true","60","12","25","true"
"61","9571","55","true","61","121","5","true","61","252","15","true","61","13","25","true"
"62","9768","55","true","62","124","5","true","62","253","15","true","62","13","25","true"
"63","9943","55","true","63","128","5","true","63","258","15","true","63","13","25","true"
"64","10143","55","true","64","134","5","true","64","266","15","true","64","13","25","true"
"65","10333","55","true","65","136","5","true","65","270","15","true","65","12","25","true"
"66","10532","55","true","66","140","5","true","66","278","15","true","66","12","25","true"
"67","10767","55","true","67","145","5","true","67","287","15","true","67","13","25","true"
"68","11011","55","true","68","148","5","true","68","294","15","true","68","13","25","true"
